fecha,hora,ticker_us,cedear,bid_ars,offer_ars,spread_ars_pct,prof_bids,prof_offers,qbid1,qoff1,qbid5,qoff5,ars_bid5,ars_off5,bid_d,offer_d,spread_d_pct,px_subyacente_usd,mep_al30,ratio,prima_mep_pct,prima_d_pct
2026-07-15,11:29,MA,MA,25400,25460,0.236,5,5,,,,,,,16.8,16.9,0.593,538.78,1509.32,33,3.2,3.21
2026-07-15,11:29,EA,EA,22930,23000,0.305,4,5,,,,,,,15.05,15.34,1.909,206.37,1509.32,14,3.22,3.08
2026-07-15,11:29,AMX,AMX,40520,40700,0.443,5,5,,,,,,,25.73,27.04,4.965,26.06,1509.32,1,3.25,1.25
2026-07-15,11:29,NVS,NVS,58575,58725,0.256,5,5,,,,,,,37.25,39.34,5.458,150.18,1509.32,4,3.5,2.0
2026-07-15,11:29,PYPL,PYPL,10730,10750,0.186,5,5,,,,,,,7.1,7.12,0.281,55.18,1509.32,8,3.16,3.08
2026-07-15,11:29,GILD,GILD,50900,51025,0.245,5,5,,,,,,,32.38,34.08,5.116,130.13,1509.32,4,3.79,2.14
2026-07-15,11:29,DIS,DISN,12670,12710,0.315,5,5,,,,,,,8.38,8.46,0.95,97.21,1509.32,12,3.79,3.94
2026-07-15,11:29,AAPL,AAPL,25280,25320,0.158,5,5,,,,,,,16.73,16.76,0.179,324.61,1509.32,20,3.28,3.17
2026-07-15,11:29,UNP,UNP,22380,22490,0.49,4,5,,,,,,,14.67,15.04,2.491,286.76,1509.32,20,3.67,3.61
2026-07-15,11:29,KO,KO,25740,25800,0.233,5,5,,,,,,,17.05,17.1,0.293,82.46,1509.32,5,3.53,3.54
2026-07-15,11:29,BMY,BMY,30400,30500,0.328,5,5,,,,,,,19.61,20.4,3.949,58.3,1509.32,3,3.81,2.94
2026-07-15,11:29,RTX,RTX,60450,60600,0.248,5,5,,,,,,,39.66,40.25,1.477,193.48,1509.32,5,3.63,3.25
2026-07-15,11:31,MA,MA,25420,25500,0.314,5,5,,,,,,,16.83,16.93,0.592,538.95,1509.23,33,3.29,3.36
2026-07-15,11:31,EA,EA,22930,23010,0.348,4,4,,,,,,,15.05,15.34,1.909,206.38,1509.23,14,3.24,3.08
2026-07-15,11:31,AMX,AMX,40500,40660,0.394,5,5,,,,,,,25.73,27.04,4.965,25.94,1509.23,1,3.65,1.72
2026-07-15,11:31,NVS,NVS,58625,58775,0.256,5,5,,,,,,,37.25,39.34,5.458,150.36,1509.23,4,3.47,1.88
2026-07-15,11:31,PYPL,PYPL,10750,10760,0.093,5,5,,,,,,,7.11,7.12,0.141,55.18,1509.23,8,3.31,3.15
2026-07-15,11:31,GILD,GILD,51075,51225,0.293,5,5,,,,,,,32.38,34.08,5.116,130.25,1509.23,4,4.08,2.05
